353,1,8,13,6,0,0,0,0,0,1,0,1,0,2,2,0
4,442,10,27,49,0,0,0,6,3,0,2,0,0,0,15,0
0,12,409,72,38,0,0,0,2,0,3,4,4,0,1,1,0
14,19,67,468,61,6,0,0,0,0,0,4,6,4,5,10,0
4,52,40,16,414,0,12,5,12,0,15,3,12,3,9,0,0
0,6,0,3,0,329,0,0,0,0,13,0,0,0,0,5,1
0,0,1,2,4,2,105,0,4,0,1,0,0,9,0,0,0
0,0,1,0,0,7,0,86,5,0,0,0,2,4,0,0,0
0,0,3,2,2,3,9,13,187,0,0,2,0,6,0,17,4
0,0,0,0,0,0,0,0,5,34,0,0,0,0,14,0,0
0,2,11,7,17,7,17,32,24,9,340,64,19,17,13,40,10
0,0,3,2,0,0,7,0,0,2,1,64,2,0,0,1,0
0,2,0,0,0,0,0,0,2,4,2,3,78,0,0,6,0
6,0,3,1,5,0,29,0,8,4,0,6,3,143,0,6,0
7,3,7,4,4,5,0,42,3,121,3,7,5,8,196,27,9
13,20,3,14,5,54,0,5,7,22,27,16,66,24,23,289,51
0,0,2,0,0,8,0,0,0,7,0,0,3,0,12,6,87
