349,0,17,10,2,0,0,0,0,0,0,0,0,0,6,0,0
3,472,19,13,36,0,0,0,3,0,0,4,7,0,5,4,0
3,5,429,58,36,0,0,0,0,4,0,2,10,0,0,1,0
8,19,91,459,65,4,1,0,2,0,0,7,9,2,0,13,1
15,52,51,24,439,0,7,0,17,0,12,2,0,3,2,7,0
0,3,0,2,0,351,0,0,0,1,1,0,1,0,3,4,7
0,0,3,0,2,1,99,3,0,0,0,0,0,9,0,0,0
0,0,0,8,0,5,2,99,17,0,1,2,1,1,0,2,0
0,2,1,3,0,1,11,10,164,0,3,16,0,11,0,10,0
0,3,2,2,0,20,0,24,0,134,2,1,6,0,57,19,2
4,4,5,10,0,13,12,6,12,12,348,59,15,19,5,27,25
2,0,0,2,3,0,0,0,0,0,4,61,2,0,0,1,0
0,0,0,9,0,0,0,0,0,0,0,0,89,0,0,7,0
3,0,1,2,6,0,21,0,7,9,0,5,5,177,12,6,0
0,1,5,6,0,13,0,27,0,69,5,3,0,3,170,20,3
18,22,2,5,8,6,0,0,0,11,13,12,58,3,6,271,10
0,3,0,9,2,2,0,0,0,3,3,0,1,0,13,7,125
